model,avg_original_chars,avg_revised_chars,avg_original_words,avg_revised_words,original_count,revised_count,char_change_percentage,word_change_percentage
ChatGPT,164.8366,143.08297280593325,27.0148,23.543186032138443,100000,25888,-13.197085595108582,-12.850785376392043
Deepseek,132.38199152542373,124.02100840336135,22.052542372881355,20.67016806722689,47200,13328,-6.315800982988436,-6.268548461579701
Llama,186.5544,191.8529609690444,32.0422,32.59236204576043,50000,11888,2.840222996104309,1.7169921096567349
Claude,208.31546309261853,180.74261846464066,32.61512302460492,28.520812328964425,49990,13886,-13.236100776502985,-12.553411779412077
Gemini,125.2854,117.85541474654377,20.2504,19.253888248847925,50000,13888,-5.930447804338114,-4.920948480780991
Grok,180.3316,186.35952220726784,29.4658,30.422442799461642,50000,11888,3.34268769714672,3.2466208263873386
