sentence_count,accuracy,precision,recall,f1_score,sample_size
2,60.98231827111984,64.97396340414728,60.982318271119844,62.914891785438215,5090
3,55.58615263571991,56.45480406329964,55.57972553950028,56.01384727277941,5084
5,55.17999999999999,56.34378628767729,55.17826482135099,55.75493509852378,5000
7,54.88174651303821,54.55081163231563,54.87070305821105,54.71028974743922,4947
10,48.61732411549411,49.248028565683946,48.61507640677095,48.92950560433266,4918
13,38.96406906206253,38.298010466603344,38.915094417727694,38.60408658741647,4286
15,37.01233744581528,37.9735511819093,36.992870998373846,37.47679666089173,2999
18,27.728776185226018,32.98271968317117,27.60030998694572,30.052418719398922,1814
20,22.19215155615697,26.94768590168396,22.213253917219312,24.35249576678784,1478
